BN,TN,SubNum,group,hand,isTrain,seq,ChunkSize,digitChangePos,digitChangeValue,press1,press2,press3,press4,press5,press6,press7,press8,press9,press10,press11,RT,ET,norm_MT,isError,timingError,points,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11,handPressed1,handPressed2,handPressed3,handPressed4,handPressed5,handPressed6,handPressed7,handPressed8,handPressed9,handPressed10,handPressed11,pressTime1,pressTime2,pressTime3,pressTime4,pressTime5,pressTime6,pressTime7,pressTime8,pressTime9,pressTime10,pressTime11,timeThreshold,timeThresholdSuper,startTime,startTimeReal,trialDur,startTR,startTRtime,useMetronome,isCross,timeThreshold.1,timeThresholdSuper.1,IPI1,IPI2,IPI3,IPI4,IPI5,IPI6,IPI7,IPI8,IPI9,IPI10
1,7,2,1,2,1,13524232514,3332,7,1,1,3,5,2,4,2,3,2,5,1,4,405.0,2215.0,2620.0,0,0,3,1,3,5,2,4,2,3,2,5,1,4,2,2,2,2,2,2,2,2,2,2,2,410.0,530.0,665.0,1080.0,1245.0,1390.0,1830.0,1955.0,2055.0,2435.0,2465.0,3500.0,2940.0,-842150451,-1,5840,-1,-1,1.0,0.0,,,120.0,135.0,415.0,165.0,145.0,440.0,125.0,100.0,380.0,30.0
1,8,2,1,2,1,41325242351,3332,7,2,4,1,3,2,5,2,4,2,3,5,1,510.0,2110.0,2620.0,0,0,3,4,1,3,2,5,2,4,2,3,5,1,2,2,2,2,2,2,2,2,2,2,2,515.0,615.0,760.0,1125.0,1260.0,1400.0,1775.0,1845.0,1965.0,2360.0,2480.0,3500.0,2940.0,-842150451,-1,5840,-1,-1,1.0,0.0,,,100.0,145.0,365.0,135.0,140.0,375.0,70.0,120.0,395.0,120.0
1,9,2,1,2,1,14325242135,2333,5,2,1,4,3,2,5,2,4,2,1,3,5,390.0,2255.0,2645.0,0,0,3,1,4,3,2,5,2,4,2,1,3,5,2,2,2,2,2,2,2,2,2,2,2,395.0,530.0,905.0,995.0,1065.0,1545.0,1695.0,1860.0,2215.0,2350.0,2435.0,3500.0,2940.0,-842150451,-1,5865,-1,-1,1.0,0.0,,,135.0,375.0,90.0,70.0,480.0,150.0,165.0,355.0,135.0,85.0
1,10,2,1,2,1,13524232514,3332,9,3,1,3,5,2,4,2,3,2,5,1,4,395.0,2000.0,2395.0,0,0,3,1,3,5,2,4,2,3,2,5,1,4,2,2,2,2,2,2,2,2,2,2,2,400.0,530.0,585.0,985.0,1135.0,1280.0,1700.0,1805.0,1880.0,2205.0,2250.0,3500.0,2940.0,-842150451,-1,5615,-1,-1,1.0,0.0,,,130.0,55.0,400.0,150.0,145.0,420.0,105.0,75.0,325.0,45.0
1,11,2,1,2,1,14325242135,2333,5,2,1,4,3,2,5,2,4,2,1,3,5,400.0,1940.0,2340.0,0,0,3,1,4,3,2,5,2,4,2,1,3,5,2,2,2,2,2,2,2,2,2,2,2,405.0,485.0,830.0,885.0,955.0,1410.0,1500.0,1600.0,2055.0,2080.0,2130.0,3500.0,2940.0,-842150451,-1,5560,-1,-1,1.0,0.0,,,80.0,345.0,55.0,70.0,455.0,90.0,100.0,455.0,25.0,50.0
1,12,2,1,2,1,13524232514,3332,9,3,1,3,5,2,4,2,3,2,5,1,4,450.0,2670.0,3120.0,1,0,0,1,3,5,2,4,2,2,5,5,1,4,2,2,2,2,2,2,2,2,2,2,2,455.0,535.0,555.0,990.0,1100.0,1210.0,1670.0,1725.0,2445.0,2860.0,2915.0,3500.0,2940.0,-842150451,-1,6340,-1,-1,1.0,0.0,,,80.0,20.0,435.0,110.0,110.0,460.0,55.0,720.0,415.0,55.0
1,13,2,1,2,1,41325242351,3332,7,5,4,1,3,2,5,2,4,2,3,5,1,460.0,2370.0,2830.0,0,0,3,4,1,3,2,5,2,4,2,3,5,1,2,2,2,2,2,2,2,2,2,2,2,465.0,515.0,650.0,1055.0,1220.0,1505.0,1870.0,2020.0,2130.0,2625.0,2700.0,3500.0,2940.0,-842150451,-1,6050,-1,-1,1.0,0.0,,,50.0,135.0,405.0,165.0,285.0,365.0,150.0,110.0,495.0,75.0
1,14,2,1,2,1,51423252413,2333,7,2,5,1,4,2,3,2,5,2,4,1,3,445.0,2280.0,2725.0,0,0,3,5,1,4,2,3,2,5,2,4,1,3,2,2,2,2,2,2,2,2,2,2,2,450.0,605.0,1005.0,1145.0,1230.0,1670.0,1800.0,1955.0,2465.0,2535.0,2610.0,3500.0,2940.0,-842150451,-1,5945,-1,-1,1.0,0.0,,,155.0,400.0,140.0,85.0,440.0,130.0,155.0,510.0,70.0,75.0
1,15,2,1,2,1,41325242351,3332,7,5,4,1,3,2,5,2,4,2,3,5,1,505.0,2390.0,2895.0,0,0,3,4,1,3,2,5,2,4,2,3,5,1,2,2,2,2,2,2,2,2,2,2,2,510.0,660.0,765.0,1125.0,1245.0,1400.0,1770.0,1815.0,1950.0,2590.0,2745.0,3500.0,2940.0,-842150451,-1,6115,-1,-1,1.0,0.0,,,150.0,105.0,360.0,120.0,155.0,370.0,45.0,135.0,640.0,155.0
1,16,2,1,2,1,13524232514,3332,5,5,1,3,5,2,4,2,3,2,5,1,4,435.0,2220.0,2655.0,0,0,3,1,3,5,2,4,2,3,2,5,1,4,2,2,2,2,2,2,2,2,2,2,2,440.0,540.0,590.0,1020.0,1170.0,1265.0,1790.0,1910.0,1965.0,2495.0,2510.0,3500.0,2940.0,-842150451,-1,5875,-1,-1,1.0,0.0,,,100.0,50.0,430.0,150.0,95.0,525.0,120.0,55.0,530.0,15.0
