BN,TN,SubNum,group,hand,isTrain,seq,ChunkSize,digitChangePos,digitChangeValue,isTrialError,timingError,IPI_Number,IPI_Value,N,Press_Number,Press_Value,Response_Number,Response_Value,isPressError
2,19,4,1,2,1,41325242351,3332,5,3,1,0,IPI3,355.0,4,press4,2,response4,2,False
2,20,4,1,2,1,14325242135,2333,5,2,1,0,IPI3,95.0,4,press4,2,response4,2,False
3,1,4,1,2,1,51423252413,2333,5,2,0,0,IPI3,100.0,4,press4,2,response4,2,False
3,2,4,1,2,1,41325242351,3332,7,2,1,0,IPI3,385.0,4,press4,2,response4,2,False
3,3,4,1,2,1,51423252413,2333,7,3,0,0,IPI3,70.0,4,press4,2,response4,2,False
3,4,4,1,2,1,14325242135,2333,9,4,1,0,IPI3,815.0,4,press4,2,response4,2,False
3,5,4,1,2,1,14325242135,2333,5,3,0,0,IPI3,85.0,4,press4,2,response4,2,False
3,6,4,1,2,1,14325242135,2333,5,3,1,0,IPI3,580.0,4,press4,2,response4,2,False
3,7,4,1,2,1,41325242351,3332,7,2,1,0,IPI3,300.0,4,press4,2,response4,2,False
3,8,4,1,2,1,51423252413,2333,9,5,1,0,IPI3,95.0,4,press4,2,response4,3,True
3,9,4,1,2,1,41325242351,3332,5,1,0,0,IPI3,270.0,4,press4,2,response4,2,False
3,10,4,1,2,1,13524232514,3332,7,4,0,0,IPI3,270.0,4,press4,2,response4,2,False
3,11,4,1,2,1,41325242351,3332,9,2,0,0,IPI3,260.0,4,press4,2,response4,2,False
3,12,4,1,2,1,51423252413,2333,9,5,0,0,IPI3,70.0,4,press4,2,response4,2,False
3,13,4,1,2,1,13524232514,3332,7,2,0,0,IPI3,250.0,4,press4,2,response4,2,False
3,14,4,1,2,1,14325242135,2333,9,3,0,0,IPI3,100.0,4,press4,2,response4,2,False
3,15,4,1,2,1,41325242351,3332,9,4,1,0,IPI3,435.0,4,press4,2,response4,2,False
3,16,4,1,2,1,13524232514,3332,7,4,0,0,IPI3,225.0,4,press4,2,response4,2,False
3,17,4,1,2,1,14325242135,2333,5,2,1,0,IPI3,100.0,4,press4,2,response4,2,False
3,18,4,1,2,1,51423252413,2333,9,1,1,0,IPI3,95.0,4,press4,2,response4,2,False
3,19,4,1,2,1,13524232514,3332,9,3,0,0,IPI3,240.0,4,press4,2,response4,2,False
3,20,4,1,2,1,13524232514,3332,5,2,0,0,IPI3,235.0,4,press4,2,response4,2,False
4,1,4,1,2,1,41325242351,3332,9,5,0,0,IPI3,275.0,4,press4,2,response4,2,False
4,2,4,1,2,1,14325242135,2333,7,3,0,0,IPI3,105.0,4,press4,2,response4,2,False
4,3,4,1,2,1,13524232514,3332,9,2,0,0,IPI3,245.0,4,press4,2,response4,2,False
4,4,4,1,2,1,13524232514,3332,7,2,0,0,IPI3,225.0,4,press4,2,response4,2,False
4,5,4,1,2,1,41325242351,3332,7,2,1,0,IPI3,470.0,4,press4,2,response4,2,False
4,6,4,1,2,1,51423252413,2333,9,1,1,0,IPI3,140.0,4,press4,2,response4,3,True
4,7,4,1,2,1,41325242351,3332,7,5,1,0,IPI3,515.0,4,press4,2,response4,2,False
4,8,4,1,2,1,13524232514,3332,9,1,0,0,IPI3,215.0,4,press4,2,response4,2,False
4,9,4,1,2,1,41325242351,3332,7,5,0,0,IPI3,270.0,4,press4,2,response4,2,False
4,10,4,1,2,1,14325242135,2333,5,1,1,0,IPI3,115.0,4,press4,2,response4,2,False
4,11,4,1,2,1,13524232514,3332,9,3,0,0,IPI3,215.0,4,press4,2,response4,2,False
4,12,4,1,2,1,51423252413,2333,5,1,0,0,IPI3,45.0,4,press4,2,response4,2,False
4,13,4,1,2,1,51423252413,2333,7,3,1,0,IPI3,110.0,4,press4,2,response4,3,True
4,14,4,1,2,1,14325242135,2333,7,5,0,0,IPI3,100.0,4,press4,2,response4,2,False
4,15,4,1,2,1,51423252413,2333,7,3,1,0,IPI3,100.0,4,press4,2,response4,3,True
4,16,4,1,2,1,13524232514,3332,9,3,0,0,IPI3,250.0,4,press4,2,response4,2,False
4,17,4,1,2,1,14325242135,2333,5,1,0,0,IPI3,100.0,4,press4,2,response4,2,False
4,18,4,1,2,1,14325242135,2333,9,4,0,0,IPI3,95.0,4,press4,2,response4,2,False
4,19,4,1,2,1,51423252413,2333,7,2,1,0,IPI3,130.0,4,press4,2,response4,3,True
4,20,4,1,2,1,41325242351,3332,7,1,1,0,IPI3,260.0,4,press4,2,response4,2,False
5,1,4,1,2,1,13524232514,3332,9,1,0,0,IPI3,235.0,4,press4,2,response4,2,False
5,2,4,1,2,1,14325242135,2333,5,2,0,0,IPI3,100.0,4,press4,2,response4,2,False
5,3,4,1,2,1,13524232514,3332,9,2,0,0,IPI3,225.0,4,press4,2,response4,2,False
5,4,4,1,2,1,51423252413,2333,9,1,0,0,IPI3,50.0,4,press4,2,response4,2,False
5,5,4,1,2,1,41325242351,3332,9,5,0,0,IPI3,300.0,4,press4,2,response4,2,False
5,6,4,1,2,1,41325242351,3332,5,1,0,0,IPI3,290.0,4,press4,2,response4,2,False
5,7,4,1,2,1,51423252413,2333,7,1,1,0,IPI3,80.0,4,press4,2,response4,2,False
5,8,4,1,2,1,41325242351,3332,5,3,0,0,IPI3,310.0,4,press4,2,response4,2,False
5,9,4,1,2,1,41325242351,3332,7,5,0,0,IPI3,235.0,4,press4,2,response4,2,False
5,10,4,1,2,1,14325242135,2333,7,3,0,0,IPI3,115.0,4,press4,2,response4,2,False
5,11,4,1,2,1,41325242351,3332,9,2,0,0,IPI3,395.0,4,press4,2,response4,2,False
5,12,4,1,2,1,13524232514,3332,7,2,0,0,IPI3,240.0,4,press4,2,response4,2,False
5,13,4,1,2,1,14325242135,2333,7,2,0,0,IPI3,145.0,4,press4,2,response4,2,False
5,14,4,1,2,1,14325242135,2333,7,2,0,0,IPI3,90.0,4,press4,2,response4,2,False
5,15,4,1,2,1,51423252413,2333,5,2,1,0,IPI3,85.0,4,press4,2,response4,2,False
5,16,4,1,2,1,51423252413,2333,9,2,0,0,IPI3,40.0,4,press4,2,response4,2,False
5,17,4,1,2,1,51423252413,2333,9,2,0,0,IPI3,55.0,4,press4,2,response4,2,False
5,18,4,1,2,1,13524232514,3332,9,1,0,0,IPI3,225.0,4,press4,2,response4,2,False
5,19,4,1,2,1,14325242135,2333,9,2,1,0,IPI3,125.0,4,press4,2,response4,2,False
5,20,4,1,2,1,13524232514,3332,7,4,0,0,IPI3,195.0,4,press4,2,response4,2,False
